rownames,gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3
1441,female,cauc,1980 Q1,regular,regular,regular,regular,451.0,548.0,596.0,606.0,500.0,567.0,587.0,667.0,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,specialist,apprentice,level1,notladder,level1,3.0,5.0,18.0,13.0,afam,cauc,cauc,cauc,24.0,24.0,41.0,41.0,56.0,56.0,78.0,78.0
1454,male,cauc,1979 Q2,,regular+aide,,,,453.0,,,,484.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,13.0,,,,cauc,,,,6.0,,,,8.0,,
1465,female,afam,1980 Q3,small,small,small,small,478.0,514.0,569.0,606.0,439.0,461.0,584.0,596.0,non-free,non-free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,11.0,31.0,14.0,14.0,cauc,cauc,cauc,cauc,8.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0
1480,male,cauc,1979 Q4,,,,regular+aide,,,,606.0,,,,568.0,,,,free,,,,rural,,,,bachelor,,,,apprentice,,,,2.0,,,,cauc,,,,36.0,,,,71.0
1499,female,cauc,1980 Q3,small,small,small,small,455.0,530.0,608.0,654.0,528.0,507.0,546.0,606.0,non-free,free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,notladder,10.0,4.0,1.0,24.0,cauc,cauc,cauc,cauc,32.0,32.0,32.0,32.0,66.0,66.0,66.0,66.0
1519,male,cauc,1979 Q1,,,,regular+aide,,,,564.0,,,,564.0,,,,non-free,,,,rural,,,,bachelor,,,,level1,,,,13.0,,,,cauc,,,,32.0,,,,66.0
1532,female,cauc,1980 Q2,,,,regular+aide,,,,680.0,,,,603.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,17.0,,,,cauc,,,,14.0,,,,38.0
1552,male,cauc,1980 Q1,regular,regular,regular,regular,430.0,490.0,622.0,633.0,473.0,567.0,615.0,645.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level3,level1,13.0,19.0,14.0,3.0,cauc,cauc,cauc,cauc,14.0,14.0,14.0,14.0,38.0,38.0,38.0,38.0
1561,male,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,437.0,503.0,552.0,578.0,468.0,512.0,574.0,554.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level3,level1,level3,6.0,16.0,8.0,12.0,cauc,cauc,cauc,cauc,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0
1583,female,afam,1980 Q1,regular,,,regular,,,,661.0,,,,631.0,free,,,free,inner-city,,,suburban,bachelor,,,,,,,,9.0,,,,afam,,,,11.0,,,11.0,28.0,,,23.0
1597,female,cauc,1979 Q2,,small,small,small,,548.0,,639.0,,532.0,,626.0,,free,,free,,urban,rural,rural,,master,bachelor,master,,level1,level2,level1,,15.0,33.0,12.0,,cauc,cauc,cauc,,7.0,42.0,42.0,,10.0,80.0,80.0
1617,male,cauc,1980 Q1,small,small,small,small,474.0,629.0,659.0,728.0,559.0,584.0,632.0,684.0,non-free,free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,probation,notladder,level1,level1,0.0,16.0,10.0,6.0,cauc,cauc,cauc,cauc,18.0,18.0,18.0,18.0,43.0,43.0,43.0,43.0
1632,male,cauc,1980 Q1,small,small,small,small,424.0,519.0,559.0,606.0,494.0,512.0,590.0,597.0,non-free,free,,non-free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,level1,level3,6.0,6.0,4.0,13.0,cauc,cauc,cauc,cauc,36.0,36.0,36.0,36.0,71.0,71.0,71.0,71.0
1641,male,cauc,1979 Q3,regular+aide,regular+aide,regular,regular,490.0,571.0,586.0,631.0,528.0,572.0,561.0,589.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,level1,level1,level1,notladder,18.0,13.0,9.0,15.0,cauc,cauc,cauc,afam,22.0,22.0,22.0,22.0,52.0,52.0,52.0,52.0
1659,male,cauc,1980 Q3,regular,,,,439.0,,,,484.0,,,,non-free,,,,suburban,,,,master,,,,level1,,,,13.0,,,,cauc,,,,22.0,,,,54.0,,,
1670,female,cauc,1979 Q4,regular+aide,,,,424.0,,,,459.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,12.0,,,,cauc,,,,9.0,,,,12.0,,,
1690,female,afam,1980 Q3,regular,regular,regular,,437.0,503.0,559.0,,528.0,497.0,543.0,,free,free,free,,suburban,suburban,suburban,,bachelor,master,bachelor,,apprentice,level1,level1,,1.0,23.0,10.0,,afam,cauc,afam,,11.0,11.0,11.0,,21.0,21.0,21.0,
1713,female,cauc,1979 Q1,,regular,regular,regular,,503.0,566.0,565.0,,538.0,552.0,580.0,,free,free,free,,rural,rural,rural,,master,master,bachelor,,level1,level1,level1,,42.0,15.0,9.0,,cauc,cauc,cauc,,30.0,30.0,30.0,,63.0,63.0,63.0
1725,female,cauc,1980 Q2,small,small,small,small,422.0,544.0,643.0,647.0,478.0,502.0,568.0,610.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level1,level1,apprentice,8.0,14.0,6.0,2.0,cauc,cauc,cauc,cauc,40.0,40.0,40.0,40.0,76.0,77.0,77.0,77.0
1735,male,cauc,1979 Q4,regular,small,small,small,424.0,501.0,577.0,622.0,559.0,545.0,593.0,691.0,free,non-free,free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,level1,level1,13.0,16.0,18.0,12.0,cauc,cauc,cauc,cauc,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0
1753,male,cauc,1979 Q3,,regular+aide,regular+aide,,,521.0,,,,557.0,,,,non-free,,,,urban,urban,,,master,bachelor,,,level1,notladder,,,8.0,17.0,,,cauc,cauc,,,6.0,6.0,,,9.0,9.0,
1772,male,cauc,1980 Q2,regular,regular,,,,477.0,,,,484.0,,,non-free,non-free,,,rural,rural,,,bachelor,bachelor,,,,apprentice,,,5.0,2.0,,,cauc,cauc,,,1.0,1.0,,,1.0,1.0,,
1789,female,cauc,1979 Q2,,,regular,regular,,,481.0,536.0,,,500.0,546.0,,,free,,,,rural,rural,,,master,bachelor,,,level1,probation,,,19.0,0.0,,,cauc,cauc,,,10.0,10.0,,,13.0,13.0
1804,male,cauc,1980 Q2,regular,,,,431.0,,,,454.0,,,,non-free,,,,rural,,,,master,,,,level1,,,,13.0,,,,cauc,,,,6.0,,,,8.0,,,
1824,male,afam,1980 Q1,,,regular,regular,,,596.0,608.0,,,620.0,672.0,,,free,free,,,inner-city,inner-city,,,bachelor,bachelor,,,notladder,level1,,,40.0,5.0,,,afam,afam,,,11.0,11.0,,,29.0,29.0
1842,female,afam,,,,,regular+aide,,,,,,,,,,,,free,,,,inner-city,,,,bachelor,,,,probation,,,,2.0,,,,cauc,,,,11.0,,,,29.0
1855,male,cauc,1980 Q1,regular+aide,regular+aide,,,451.0,439.0,,,473.0,463.0,,,non-free,free,,,rural,rural,,,bachelor,bachelor,,,level1,level1,,,3.0,8.0,,,cauc,cauc,,,32.0,32.0,,,66.0,66.0,,
1873,male,cauc,1980 Q1,small,small,small,small,456.0,492.0,549.0,580.0,602.0,515.0,587.0,614.0,free,non-free,non-free,free,urban,urban,urban,urban,master,bachelor,master,bachelor,level1,level1,level1,level1,14.0,5.0,9.0,13.0,cauc,cauc,afam,cauc,26.0,26.0,26.0,26.0,59.0,59.0,59.0,59.0
1885,male,cauc,1979 Q2,,regular+aide,regular+aide,small,,521.0,542.0,612.0,,502.0,530.0,549.0,,free,free,free,,urban,urban,urban,,master,master,bachelor,,level1,level1,level1,,15.0,20.0,14.0,,cauc,cauc,cauc,,27.0,27.0,27.0,,60.0,60.0,60.0
1903,female,cauc,1980 Q1,,,regular+aide,regular+aide,,,568.0,588.0,,,548.0,582.0,,,non-free,non-free,,,suburban,suburban,,,master,master,,,level1,level1,,,21.0,32.0,,,cauc,cauc,,,22.0,22.0,,,51.0,51.0
1916,female,afam,1980 Q2,regular+aide,,,,421.0,,,,459.0,,,,free,,,,inner-city,,,,bachelor,,,,level1,,,,11.0,,,,cauc,,,,11.0,,,,31.0,,,
1934,male,afam,1980 Q2,regular+aide,regular,regular+aide,regular,463.0,478.0,582.0,622.0,576.0,567.0,611.0,642.0,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,master,level1,probation,level1,level3,10.0,5.0,35.0,14.0,afam,cauc,afam,cauc,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0
1952,female,afam,1980 Q1,regular+aide,regular,regular,,425.0,457.0,,,520.0,510.0,,,non-free,free,free,,suburban,suburban,suburban,,bachelor,bachelor,bachelor,,level1,level1,notladder,,8.0,16.0,12.0,,afam,cauc,cauc,,11.0,11.0,11.0,,17.0,17.0,17.0,
1958,female,cauc,1979 Q4,regular,regular+aide,regular+aide,regular+aide,522.0,651.0,669.0,675.0,559.0,627.0,659.0,700.0,non-free,non-free,non-free,non-free,urban,urban,urban,urban,bachelor,master,master,master,level1,level1,level1,level1,8.0,8.0,19.0,16.0,cauc,cauc,cauc,cauc,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0
1980,female,cauc,1980 Q2,regular+aide,regular,regular,regular,413.0,553.0,611.0,610.0,459.0,553.0,603.0,642.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,master,level1,level1,apprentice,level1,5.0,12.0,1.0,18.0,cauc,cauc,cauc,cauc,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0
1993,male,cauc,1980 Q3,regular,small,,,416.0,536.0,,,513.0,578.0,,,non-free,non-free,,,rural,rural,,,master,master,,,level1,level1,,,13.0,11.0,,,cauc,cauc,,,23.0,23.0,,,55.0,55.0,,
2013,male,afam,1980 Q2,,,regular,,,,555.0,,,,611.0,,,,free,,,,inner-city,,,,bachelor,,,,probation,,,,2.0,,,,cauc,,,,11.0,,,,33.0,
2033,male,afam,1980 Q1,,regular+aide,regular+aide,regular+aide,,499.0,577.0,612.0,,481.0,577.0,614.0,,free,free,free,,inner-city,inner-city,inner-city,,bachelor,bachelor,bachelor,,notladder,level1,level1,,36.0,31.0,18.0,,afam,afam,afam,,11.0,11.0,11.0,,33.0,33.0,33.0
2048,female,cauc,1979 Q1,,small,,,,457.0,,,,449.0,,,,non-free,,,,suburban,,,,bachelor,,,,notladder,,,,23.0,,,,cauc,,,,22.0,,,,51.0,,
2054,female,afam,1980 Q4,regular,,,,419.0,,,,423.0,,,,free,,,,inner-city,,,,bachelor,,,,probation,,,,0.0,,,,afam,,,,11.0,,,,27.0,,,
2074,female,cauc,1980 Q3,regular+aide,,,,431.0,,,,494.0,,,,non-free,,,,suburban,,,,bachelor,,,,level1,,,,3.0,,,,cauc,,,,25.0,,,,58.0,,,
2095,female,cauc,1978 Q1,,regular+aide,regular+aide,regular+aide,,,,,,500.0,,543.0,,free,free,free,,rural,rural,rural,,bachelor,master,specialist,,level1,level1,level2,,13.0,11.0,16.0,,cauc,cauc,cauc,,35.0,35.0,35.0,,70.0,70.0,70.0
2105,male,afam,1979 Q3,,,regular+aide,regular+aide,,,539.0,531.0,,,533.0,562.0,,,free,free,,,inner-city,inner-city,,,master,master,,,level1,level2,,,13.0,13.0,,,cauc,afam,,,11.0,11.0,,,26.0,26.0
2121,female,cauc,1979 Q3,,,,regular+aide,,,,608.0,,,,672.0,,,,non-free,,,,rural,,,,master,,,,level1,,,,36.0,,,,cauc,,,,38.0,,,,74.0
2137,male,cauc,1980 Q3,small,regular,regular,regular,418.0,475.0,526.0,577.0,439.0,497.0,522.0,585.0,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,notladder,notladder,level1,8.0,12.0,13.0,8.0,cauc,cauc,cauc,cauc,21.0,21.0,21.0,21.0,49.0,50.0,50.0,50.0
2161,female,afam,1980 Q1,regular,,,,422.0,,,,434.0,,,,free,,,,rural,,,,master,,,,level1,,,,15.0,,,,cauc,,,,5.0,,,,7.0,,,
2169,male,afam,1980 Q3,,regular,regular,,,460.0,515.0,,,493.0,525.0,,,non-free,non-free,,,suburban,suburban,,,bachelor,bachelor,,,apprentice,level3,,,2.0,22.0,,,cauc,cauc,,,11.0,11.0,,,23.0,23.0,
2193,female,afam,1980 Q1,small,small,small,small,414.0,509.0,588.0,590.0,434.0,497.0,517.0,582.0,free,free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,level1,level1,8.0,7.0,15.0,13.0,cauc,cauc,cauc,cauc,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
2205,male,afam,1980 Q2,,regular+aide,,,,466.0,,,,493.0,,,,free,,,,inner-city,,,,bachelor,,,,apprentice,,,,1.0,,,,afam,,,,11.0,,,,29.0,,
2219,male,cauc,1980 Q3,,,regular+aide,regular+aide,,,,572.0,,,,599.0,,,non-free,free,,,urban,urban,,,master,master,,,level1,level1,,,19.0,16.0,,,cauc,cauc,,,6.0,6.0,,,9.0,9.0
2231,male,afam,1979 Q4,regular+aide,regular,,,433.0,454.0,,,454.0,458.0,,,free,free,,,urban,urban,,,bachelor,bachelor,,,,apprentice,,,11.0,1.0,,,cauc,cauc,,,13.0,13.0,,,37.0,37.0,,
2257,male,cauc,1979 Q1,,small,,,,544.0,,,,572.0,,,,non-free,,,,rural,,,,bachelor,,,,notladder,,,,6.0,,,,cauc,,,,21.0,,,,50.0,,
2267,female,afam,1980 Q3,,,,regular,,,,,,,,,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,8.0,,,,afam,,,,11.0,,,,25.0
2288,female,afam,1980 Q1,,regular,,,,519.0,,,,523.0,,,,free,,,,rural,,,,bachelor,,,,level1,,,,5.0,,,,cauc,,,,34.0,,,,68.0,,
2299,male,afam,1979 Q3,,,regular+aide,,,,503.0,,,,515.0,,,,free,,,,inner-city,,,,master,,,,level3,,,,16.0,,,,cauc,,,,11.0,,,,16.0,
2321,female,cauc,1980 Q1,regular,small,small,,450.0,,,,484.0,510.0,,,non-free,non-free,non-free,,rural,rural,rural,,bachelor,master,master,,level1,level1,level3,,10.0,12.0,14.0,,cauc,cauc,cauc,,35.0,35.0,35.0,,70.0,70.0,70.0,
2336,female,cauc,1980 Q1,small,small,small,small,458.0,521.0,596.0,606.0,559.0,542.0,572.0,582.0,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,notladder,level1,level1,4.0,27.0,10.0,4.0,cauc,cauc,cauc,cauc,16.0,16.0,16.0,16.0,40.0,40.0,40.0,40.0
2350,female,cauc,1980 Q2,small,small,small,small,445.0,553.0,579.0,624.0,459.0,526.0,557.0,589.0,non-free,free,free,free,urban,urban,urban,urban,master,bachelor,bachelor,bachelor,level1,level1,level1,level1,7.0,18.0,22.0,8.0,cauc,cauc,cauc,cauc,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0
2358,female,cauc,1979 Q4,,,small,small,,,577.0,629.0,,,545.0,599.0,,,free,free,,,urban,urban,,,master,bachelor,,,apprentice,level1,,,23.0,9.0,,,cauc,cauc,,,6.0,6.0,,,9.0,9.0
2384,male,cauc,1980 Q1,small,small,,,439.0,451.0,,,506.0,538.0,,,non-free,free,,,urban,urban,,,master,master,,,level1,level1,,,17.0,14.0,,,cauc,cauc,,,20.0,20.0,,,48.0,48.0,,
2393,male,cauc,1979 Q3,small,small,small,small,476.0,564.0,637.0,686.0,576.0,601.0,620.0,700.0,non-free,non-free,non-free,non-free,urban,urban,urban,urban,master+,master,master,bachelor,level1,level1,level1,level1,12.0,15.0,14.0,36.0,cauc,cauc,cauc,cauc,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0
2406,male,afam,1979 Q4,,regular,regular,regular,,530.0,555.0,675.0,,567.0,615.0,608.0,,free,free,free,,inner-city,inner-city,inner-city,,bachelor,bachelor,bachelor,,probation,apprentice,apprentice,,0.0,1.0,3.0,,afam,cauc,cauc,,18.0,18.0,18.0,,45.0,45.0,45.0
2430,female,cauc,1980 Q2,,small,,,,590.0,,,,592.0,,,,non-free,,,,rural,,,,master,,,,apprentice,,,,1.0,,,,cauc,,,,31.0,,,,64.0,,
2439,female,cauc,1980 Q4,regular,regular,regular,regular,467.0,604.0,659.0,686.0,484.0,567.0,626.0,663.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,master,level1,apprentice,probation,level1,4.0,2.0,2.0,13.0,cauc,cauc,cauc,cauc,42.0,42.0,42.0,42.0,80.0,80.0,80.0,80.0
2454,male,cauc,1979 Q4,,,,regular,,,,606.0,,,,591.0,,,,non-free,,,,rural,,,,bachelor,,,,level1,,,,9.0,,,,cauc,,,,30.0,,,,63.0
2475,male,cauc,1980 Q3,,,,regular,,,,,,,,,,,,non-free,,,,urban,,,,master,,,,level1,,,,7.0,,,,cauc,,,,26.0,,,,59.0
2486,female,afam,1979 Q4,regular+aide,regular+aide,regular+aide,regular+aide,416.0,454.0,,624.0,434.0,510.0,,601.0,free,free,free,free,inner-city,inner-city,inner-city,inner-city,master,bachelor,master,master,level1,apprentice,notladder,notladder,10.0,5.0,13.0,3.0,afam,cauc,cauc,afam,11.0,11.0,11.0,11.0,28.0,28.0,28.0,28.0
2508,male,cauc,1980 Q2,small,,,small,480.0,,,657.0,528.0,,,663.0,non-free,,,non-free,suburban,,,suburban,bachelor,,,bachelor,probation,,,level1,0.0,,,5.0,cauc,,,cauc,18.0,,,18.0,43.0,,,43.0
2518,female,cauc,1979 Q4,,,regular+aide,,,,618.0,,,,639.0,,,,free,,,,rural,,,,master,,,,level1,,,,15.0,,,,cauc,,,,40.0,,,,77.0,
2542,male,cauc,1979 Q2,,,,regular+aide,,,,593.0,,,,604.0,,,,free,,,,rural,,,,master,,,,level2,,,,10.0,,,,cauc,,,,15.0,,,,39.0
2554,female,cauc,1980 Q3,regular+aide,,,,437.0,,,,478.0,,,,non-free,,,,suburban,,,,bachelor,,,,level1,,,,16.0,,,,cauc,,,,17.0,,,,41.0,,,
2567,male,afam,1978 Q4,,,,regular+aide,,,,602.0,,,,567.0,,,,free,,,,inner-city,,,,master,,,,notladder,,,,25.0,,,,cauc,,,,11.0,,,,15.0
2591,male,cauc,1980 Q1,small,small,small,small,465.0,590.0,650.0,665.0,602.0,612.0,699.0,726.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,master,bachelor,level1,level1,apprentice,level1,18.0,18.0,15.0,5.0,cauc,cauc,afam,cauc,17.0,17.0,17.0,17.0,41.0,41.0,41.0,41.0
2601,male,cauc,1979 Q3,,regular,regular,regular,,604.0,611.0,639.0,,538.0,563.0,624.0,,non-free,free,non-free,,rural,rural,rural,,bachelor,bachelor,master,,level1,level1,level1,,7.0,8.0,8.0,,cauc,cauc,cauc,,21.0,21.0,21.0,,50.0,50.0,50.0
2616,female,afam,1979 Q4,,regular,regular,regular+aide,,492.0,526.0,573.0,,490.0,504.0,556.0,,non-free,free,non-free,,inner-city,inner-city,inner-city,,bachelor,bachelor,master,,apprentice,level1,level2,,1.0,12.0,14.0,,cauc,afam,afam,,11.0,11.0,11.0,,22.0,22.0,22.0
2640,male,afam,1980 Q1,,,,regular,,,,614.0,,,,603.0,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,10.0,,,,afam,,,,11.0,,,,23.0
2647,female,cauc,1979 Q4,small,small,small,,407.0,460.0,499.0,,439.0,510.0,492.0,,free,free,free,,rural,rural,rural,,bachelor,bachelor,master,,level1,apprentice,level2,,4.0,2.0,28.0,,cauc,cauc,cauc,,16.0,16.0,16.0,,40.0,40.0,40.0,
2669,female,afam,1980 Q2,regular,regular,regular+aide,small,487.0,509.0,579.0,633.0,547.0,526.0,620.0,634.0,non-free,non-free,non-free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,master,level1,probation,level1,level2,12.0,5.0,35.0,9.0,afam,cauc,afam,afam,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0
2685,male,cauc,1980 Q2,regular+aide,regular,,,425.0,516.0,,,489.0,578.0,,,non-free,non-free,,,suburban,suburban,,,master,master,,,level1,level1,,,8.0,10.0,,,cauc,cauc,,,28.0,28.0,,,61.0,61.0,,
2701,female,cauc,1980 Q2,small,small,small,small,447.0,487.0,560.0,560.0,500.0,497.0,528.0,585.0,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,bachelor,bachelor,level1,level1,level1,notladder,14.0,4.0,25.0,21.0,afam,cauc,afam,cauc,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0
2710,male,cauc,1979 Q4,,,regular,regular,,,549.0,585.0,,,572.0,596.0,,,non-free,non-free,,,rural,rural,,,master,bachelor,,,level1,level1,,,11.0,19.0,,,cauc,cauc,,,39.0,39.0,,,75.0,75.0
2730,female,cauc,1980 Q3,small,small,small,small,430.0,590.0,622.0,647.0,468.0,542.0,577.0,614.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,bachelor,level1,level1,level1,level1,13.0,6.0,17.0,10.0,cauc,cauc,cauc,cauc,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0
2748,female,cauc,1980 Q2,small,,,,,,,,444.0,,,,non-free,,,,suburban,,,,bachelor,,,,,,,,15.0,,,,cauc,,,,18.0,,,,43.0,,,
2765,male,cauc,1980 Q2,,regular+aide,,,,540.0,,,,526.0,,,,non-free,,,,urban,,,,bachelor,,,,notladder,,,,0.0,,,,cauc,,,,20.0,,,,48.0,,
2779,female,cauc,1980 Q3,,regular+aide,,,,442.0,,,,472.0,,,,free,,,,urban,,,,bachelor,,,,level1,,,,7.0,,,,afam,,,,2.0,,,,2.0,,
